JobCount	CreatedMonth	CreatedYear	ListingViews	ListingApplications	ApplicationRatio
19325	3	2016	9789458	19325	0.197406230252993
34245	2	2016	23155932	34245	0.147888670600691
32871	1	2016	20883336	32871	0.157403012622121
28999	12	2015	20670399	28999	0.140292405579592
36632	11	2015	19224919	36632	0.190544365882634
45584	10	2015	21986759	45584	0.207324781246749
46517	9	2015	18135670	46517	0.256494521569923
41845	8	2015	20833051	41845	0.200858722037401
54968	7	2015	36213209	54968	0.151789917319948
57063	6	2015	34174839	57063	0.166973720051761
56339	5	2015	29724580	56339	0.189536740300452
72958	4	2015	49358733	72958	0.147811735767205
76647	3	2015	49160560	76647	0.155911568135107
109742	2	2015	1201529607	109742	0.00913352441426772
79996	1	2015	53276932	79996	0.150151288741626
60539	12	2014	25384534	60539	0.2384877343031
76362	11	2014	35293687	76362	0.21636163997261
81439	10	2014	40548256	81439	0.200844642985385
91051	9	2014	57731922	91051	0.15771343971538
79676	8	2014	66652550	79676	0.119539312449411
68787	7	2014	66305785	68787	0.103742079216768
150524	6	2014	302409855	150524	0.0497748329002043
64504	5	2014	79551211	64504	0.0810848749995773
93740	4	2014	106883690	93740	0.0877028104100822
56524	3	2014	67121405	56524	0.0842115864529355
57808	2	2014	72082690	57808	0.0801967851088798
35602	1	2014	50214136	35602	0.0709003536374697
36549	12	2013	29249733	36549	0.124954986768597
42552	11	2013	46503137	42552	0.0915035043764897
108829	10	2013	857821227	108829	0.0126866760316249
225357	9	2013	1552275367	225357	0.0145178493964982
31656	8	2013	32481222	31656	0.0974593874577748
48825	7	2013	38528266	48825	0.126725142522635
26834	6	2013	17406190	26834	0.15416354756555
25840	5	2013	12939387	25840	0.199700341291284
21572	4	2013	9177186	21572	0.235061161449708
17209	3	2013	9194567	17209	0.187164876823455
11215	2	2013	7355963	11215	0.15246134326668
3792	1	2013	12672134	3792	0.0299239259938381
5529	12	2012	1983044	5529	0.278813783254431
12458	11	2012	57455510	12458	0.0216828638367321
55226	10	2012	74031843	55226	0.0745976295632678
